"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2021","62,235.0","60,598.0","62,980.0","60,189.5","3.92K","2.70%"
"Oct 30, 2021","61,838.8","62,235.0","62,353.0","60,756.0","2.24K","-0.64%"
"Oct 31, 2021","61,330.0","61,838.8","62,414.0","60,021.0","2.42K","-0.82%"
"Nov 01, 2021","60,927.0","61,330.0","62,485.0","59,595.6","4.81K","-0.66%"
"Nov 02, 2021","63,249.0","60,927.0","64,263.4","60,661.0","5.20K","3.81%"
"Nov 03, 2021","62,904.0","63,249.0","63,556.0","60,624.0","4.76K","-0.55%"
"Nov 04, 2021","61,422.8","62,904.0","63,060.2","60,733.0","2.93K","-2.35%"
"Nov 05, 2021","61,016.4","61,422.8","62,598.0","60,746.3","2.26K","-0.66%"
"Nov 06, 2021","61,496.0","61,016.4","61,583.0","60,100.0","2.93K","0.79%"
"Nov 07, 2021","63,259.1","61,495.0","63,279.0","61,400.0","3.23K","2.87%"
"Nov 08, 2021","67,526.0","63,259.1","67,665.0","63,259.1","8.98K","6.75%"
"Nov 09, 2021","66,935.0","67,526.0","68,429.0","66,343.0","6.46K","-0.88%"
"Nov 10, 2021","64,954.0","66,935.0","68,925.0","63,123.0","12.23K","-2.96%"
"Nov 11, 2021","64,801.0","64,954.0","65,541.0","64,089.0","2.86K","-0.24%"
"Nov 12, 2021","64,156.0","64,801.0","65,412.0","62,310.0","5.12K","-1.00%"
"Nov 13, 2021","64,406.0","64,137.0","64,968.2","63,405.0","1.87K","0.39%"
"Nov 14, 2021","65,471.0","64,406.0","65,471.0","63,589.0","2.19K","1.65%"
"Nov 15, 2021","63,562.0","65,471.0","66,320.0","63,383.3","5.27K","-2.92%"
"Nov 16, 2021","60,124.0","63,562.0","63,562.0","58,708.0","13.07K","-5.41%"
"Nov 17, 2021","60,386.1","60,124.0","60,847.0","58,427.0","6.72K","0.44%"
"Nov 18, 2021","57,014.0","60,386.1","60,945.0","56,559.0","11.54K","-5.58%"
"Nov 19, 2021","58,130.0","56,932.0","58,379.0","55,670.0","5.18K","1.96%"
"Nov 20, 2021","59,739.0","58,130.0","59,886.0","57,494.4","3.13K","2.77%"
"Nov 21, 2021","58,790.0","59,739.0","60,047.0","58,624.0","2.44K","-1.59%"
"Nov 22, 2021","56,299.0","58,790.0","59,407.0","55,714.0","8.83K","-4.24%"
"Nov 23, 2021","57,602.0","56,299.0","57,866.2","55,460.0","8.56K","2.31%"
"Nov 24, 2021","57,209.0","57,602.0","57,762.0","55,916.9","4.89K","-0.68%"
"Nov 25, 2021","58,995.0","57,209.0","59,423.4","57,070.0","3.98K","3.12%"
"Nov 26, 2021","53,738.0","58,995.0","59,229.0","53,565.0","12.19K","-8.91%"
"Nov 27, 2021","54,836.0","53,738.0","55,329.0","53,711.0","3.09K","2.04%"
"Nov 28, 2021","57,325.0","54,836.0","57,469.0","53,482.0","4.94K","4.54%"
"Nov 29, 2021","57,845.0","57,325.0","58,886.0","56,772.0","5.07K","0.91%"
"Nov 30, 2021","56,938.0","57,845.0","59,174.0","55,940.0","6.47K","-1.57%"
"Dec 01, 2021","57,250.0","56,938.0","59,055.0","56,505.0","5.18K","0.55%"
"Dec 02, 2021","56,517.0","57,250.0","57,389.0","55,842.0","4.41K","-1.28%"
"Dec 03, 2021","53,709.0","56,517.0","57,599.0","52,062.0","10.73K","-4.97%"
"Dec 04, 2021","49,272.0","53,709.0","53,879.0","42,101.0","22.58K","-8.26%"
"Dec 05, 2021","49,469.0","49,272.0","49,752.0","47,860.0","4.78K","0.40%"
"Dec 06, 2021","50,566.6","49,469.0","50,974.0","47,295.0","8.05K","2.22%"
"Dec 07, 2021","50,634.0","50,566.6","51,969.0","50,102.0","3.91K","0.13%"
"Dec 08, 2021","50,503.4","50,634.0","51,239.0","48,760.0","4.03K","-0.26%"
"Dec 09, 2021","47,611.0","50,503.4","50,824.0","47,408.0","5.28K","-5.73%"
"Dec 10, 2021","47,170.0","47,611.0","50,105.0","47,060.0","8.17K","-0.93%"
"Dec 11, 2021","49,363.1","47,170.0","49,510.0","46,897.0","5.29K","4.65%"
"Dec 12, 2021","50,123.0","49,363.1","50,800.0","48,692.0","3.87K","1.54%"
"Dec 13, 2021","46,777.0","50,123.0","50,222.7","45,790.0","8.71K","-6.68%"
"Dec 14, 2021","48,408.0","46,777.0","48,656.0","46,356.2","5.48K","3.49%"
"Dec 15, 2021","48,901.0","48,408.0","49,520.0","46,602.0","7.04K","1.02%"
"Dec 16, 2021","47,675.0","48,901.0","49,462.1","47,561.0","3.53K","-2.51%"
"Dec 17, 2021","46,193.0","47,675.0","48,028.8","45,539.0","5.86K","-3.11%"
"Dec 18, 2021","46,879.0","46,193.0","47,364.0","45,543.5","3.74K","1.49%"
"Dec 19, 2021","46,716.5","46,879.0","48,283.0","46,474.9","5.24K","-0.35%"
"Dec 20, 2021","46,898.0","46,716.5","47,541.0","45,606.0","5.65K","0.39%"
"Dec 21, 2021","48,923.0","46,898.0","49,352.0","46,683.0","4.71K","4.32%"
"Dec 22, 2021","48,626.0","48,923.0","49,575.1","48,459.8","3.14K","-0.61%"
"Dec 23, 2021","50,812.0","48,626.0","51,376.0","48,078.0","4.43K","4.50%"
"Dec 24, 2021","50,815.0","50,833.0","51,834.0","50,439.0","2.60K","0.01%"
"Dec 25, 2021","50,437.0","50,815.0","51,169.0","50,209.0","1.99K","-0.74%"
"Dec 26, 2021","50,797.0","50,435.2","51,281.0","49,473.0","2.90K","0.71%"
"Dec 27, 2021","50,684.0","50,797.0","52,027.0","50,483.0","3.52K","-0.22%"
"Dec 28, 2021","47,554.0","50,684.0","50,710.0","47,339.0","5.43K","-6.18%"
"Dec 29, 2021","46,465.0","47,554.0","48,166.0","46,129.0","4.12K","-2.29%"
"Dec 30, 2021","47,156.0","46,465.0","47,911.0","45,996.0","3.20K","1.49%"
"Dec 31, 2021","46,218.0","47,156.0","48,589.0","45,697.0","4.25K","-1.99%"
